Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,LDSBankConflict,LDSInsts
163,"compute_fd_y_kernel",8,0,485,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
164,"compute_fd_y_kernel",8,0,488,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
165,"compute_fd_y_kernel",8,0,491,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
166,"compute_fd_y_kernel",8,0,494,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
167,"compute_fd_y_kernel",8,0,497,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
168,"compute_fd_y_kernel",8,0,500,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
169,"compute_fd_y_kernel",8,0,503,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
170,"compute_fd_y_kernel",8,0,506,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
171,"compute_fd_y_kernel",8,0,509,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
172,"compute_fd_y_kernel",8,0,512,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
173,"compute_fd_y_kernel",8,0,515,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
174,"compute_fd_y_kernel",8,0,518,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
175,"compute_fd_y_kernel",8,0,521,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
176,"compute_fd_y_kernel",8,0,524,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
177,"compute_fd_y_kernel",8,0,527,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
178,"compute_fd_y_kernel",8,0,530,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
179,"compute_fd_y_kernel",8,0,533,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
180,"compute_fd_y_kernel",8,0,536,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
181,"compute_fd_y_kernel",8,0,539,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
182,"compute_fd_y_kernel",8,0,542,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
183,"compute_fd_y_kernel",8,0,545,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
184,"compute_fd_y_kernel",8,0,548,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
185,"compute_fd_y_kernel",8,0,551,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
186,"compute_fd_y_kernel",8,0,554,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
187,"compute_fd_y_kernel",8,0,557,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
188,"compute_fd_y_kernel",8,0,560,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
189,"compute_fd_y_kernel",8,0,563,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
190,"compute_fd_y_kernel",8,0,566,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
191,"compute_fd_y_kernel",8,0,569,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
192,"compute_fd_y_kernel",8,0,572,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
193,"compute_fd_y_kernel",8,0,575,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
194,"compute_fd_y_kernel",8,0,578,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
195,"compute_fd_y_kernel",8,0,581,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
196,"compute_fd_y_kernel",8,0,584,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
197,"compute_fd_y_kernel",8,0,587,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
198,"compute_fd_y_kernel",8,0,590,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
199,"compute_fd_y_kernel",8,0,593,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
200,"compute_fd_y_kernel",8,0,596,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
201,"compute_fd_y_kernel",8,0,599,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
202,"compute_fd_y_kernel",8,0,602,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
203,"compute_fd_y_kernel",8,0,605,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
204,"compute_fd_y_kernel",8,0,608,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
205,"compute_fd_y_kernel",8,0,611,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
206,"compute_fd_y_kernel",8,0,614,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d700,0.0000000000,0.0000000000
207,"max_absval_gpu_kernel",8,0,616,12811,12811,599040,512,0,0,12,4,32,64,0x0,0x7fbf2296d640,0.0000000000,0.0000000000
208,"__amd_rocclr_fillBufferAligned.kd",8,0,619,12811,12811,77875200,256,0,0,8,0,32,64,0x0,0x7fbf227f5780,0.0000000000,0.0000000000
209,"compute_fd_z_kernel",8,0,622,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d740,0.0000000000,0.0000000000
210,"compute_fd_z_kernel",8,0,625,12811,12811,134217728,256,0,0,20,4,32,64,0x0,0x7fbf2296d740,0.0000000000,0.0000000000
