"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
23,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,63,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914155742474,1915914155752024,1915914158364672,1915914158379054,2612648
24,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,66,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914158394724,1915914158403872,1915914161012040,1915914161025745,2608168
25,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,69,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914161042344,1915914161051187,1915914163651355,1915914163667505,2600168
26,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,72,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914163682905,1915914163692795,1915914166306563,1915914166322705,2613768
27,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,75,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914166328136,1915914166336963,1915914168944172,1915914168957996,2607209
28,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,78,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914168973466,1915914168982252,1915914171588021,1915914171604446,2605769
29,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,81,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914171620996,1915914171630101,1915914174235550,1915914174251357,2605449
30,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,84,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914174257597,1915914174274430,1915914176881478,1915914176895347,2607048
31,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,87,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914176911577,1915914176920519,1915914179527247,1915914179541007,2606728
32,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,90,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914179557947,1915914179567087,1915914182172056,1915914182187658,2604969
33,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,93,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914182193928,1915914182203096,1915914184805985,1915914184819558,2602889
34,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,96,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914184835888,1915914184844225,1915914187453354,1915914187466608,2609129
35,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,99,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914187482519,1915914187491594,1915914190089202,1915914190105159,2597608
36,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,102,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914190110909,1915914190121362,1915914192733531,1915914192747199,2612169
37,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,105,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914192762809,1915914192771931,1915914195375300,1915914195392090,2603369
38,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,108,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914195397840,1915914195408260,1915914198014669,1915914198028270,2606409
39,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,111,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914198043380,1915914198052749,1915914200655317,1915914200671541,2602568
40,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,114,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914200677370,1915914200692918,1915914203298366,1915914203312211,2605448
41,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,117,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914203330211,1915914203339166,1915914205941735,1915914205958891,2602569
42,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,120,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914205967501,1915914205983335,1915914208584624,1915914208598772,2601289
43,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,123,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914208615382,1915914208624304,1915914211226393,1915914211241952,2602089
44,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,126,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914211247412,1915914211255193,1915914213868161,1915914213882043,2612968
